OVCA_TMA22_region_110.ome.tiff
179 ROIs
CD3+	20
CD3-	20
CD8+	20
CD8-	20
CD4+	20
CD4-	20
CD45-	20
FOXP3-	20
FOXP3+	12
ISOTYPERB+	5
CD45+	2

OVCA_TMA22_region_107.ome.tiff
174 ROIs
CD3+	20
CD3-	20
CD8+	20
CD4+	20
CD4-	20
CD8-	20
CD20-	20
FOXP3-	20
FOXP3+	13
CD20+	1

OVCA_TMA22_region_064.ome.tiff
166 ROIs
CD3+	20
CD3-	20
CD8-	20
CD4+	20
CD4-	20
CD20-	20
FOXP3-	20
CD8+	13
FOXP3+	11
CD20+	2

OVCA_TMA22_region_055.ome.tiff
174 ROIs
CD3-	20
CD8-	20
CD4-	20
CD20-	20
CD56-	20
CD38-	19
CD3+	18
CD38+	12
CD4+	10
CD8+	5
CD20+	3
CD56+	3
ISOTYPERB+	3
ISOTYPEMU+	1

OVCA_TMA22_region_135.ome.tiff
103 ROIs
CD45-	21
CD3-	20
CD8-	20
CD3+	18
CD8+	16
CD45+	7
ISOTYPERB+	1

OVCA_TMA22_region_046.ome.tiff
43 ROIs
CD3+	20
CD3-	20
ISOTYPEMU+	2
ISOTYPERB+	1

OVCA_TMA22_region_065.ome.tiff
181 ROIs
CD3+	20
CD3-	20
CD8+	20
CD8-	20
CD4-	20
CD20-	20
FOXP3+	20
FOXP3-	20
CD4+	10
CD20+	10
ISOTYPERB+	1

OVCA_TMA22_region_195.ome.tiff
238 ROIs
CD8-	30
CD45-	27
CD3-	26
CD4-	26
CD3+	24
FOXP3-	22
CD8+	20
CD4+	20
CD20-	20
FOXP3+	14
CD20+	4
CD45+	3
ISOTYPERB+	2

OVCA_TMA22_region_172.ome.tiff
191 ROIs
CD3+	20
CD3-	20
CD8+	20
CD8-	20
CD4+	20
CD4-	20
CD20-	20
FOXP3-	20
FOXP3+	16
CD20+	15

OVCA_TMA22_region_313.ome.tiff
230 ROIs
CD3+	26
CD20-	25
CD3-	22
CD4-	21
CD8+	20
CD8-	20
CD4+	20
FOXP3+	20
FOXP3-	20
CD56-	20
CD20+	12
CD56+	3
ISOTYPERB+	1

OVCA_TMA22_region_070.ome.tiff
248 ROIs
CD3+	20
CD3-	20
CD8+	20
CD8-	20
CD4+	20
CD4-	20
CD20-	20
CD38-	20
CD56-	20
FOXP3-	20
CD56+	18
CD38+	16
FOXP3+	13
CD20+	1

OVCA_TMA22_region_039.ome.tiff
95 ROIs
CD3+	20
CD3-	20
CD4-	20
FOXP3-	20
CD4+	11
FOXP3+	4

OVCA_TMA22_region_137.ome.tiff
189 ROIs
FOXP3-	23
CD4+	22
CD8-	21
CD3+	20
CD8+	20
CD4-	20
CD20-	20
CD3-	19
FOXP3+	19
CD20+	4
ISOTYPERB+	1

OVCA_TMA22_region_060.ome.tiff
104 ROIs
CD3-	20
CD8-	20
FOXP3-	20
CD4-	19
CD3+	8
FOXP3+	7
CD4+	5
CD8+	4
ISOTYPERB+	1

OVCA_TMA22_region_145.ome.tiff
183 ROIs
CD3+	20
CD3-	20
CD8+	20
CD8-	20
CD4+	20
CD4-	20
CD20-	20
FOXP3+	20
FOXP3-	20
CD20+	3

OVCA_TMA22_region_062.ome.tiff
169 ROIs
CD3-	20
CD8-	20
CD38+	20
CD38-	20
CD56+	20
CD56-	20
FOXP3-	20
FOXP3+	11
CD3+	10
CD8+	8

OVCA_TMA22_region_030.ome.tiff
288 ROIs
CD3+	20
CD56-	20
CD8+	20
CD8-	20
CD45+	20
CD45-	20
CD4+	20
CD4-	20
CD3-	20
CD20-	20
CD38+	20
CD38-	20
FOXP3+	20
FOXP3-	20
CD20+	4
CD56+	3
ISOTYPERB+	1

OVCA_TMA22_region_087.ome.tiff
301 ROIs
CD56-	21
CD3+	20
CD45-	20
CD38-	20
CD3-	20
CD20+	20
CD20-	20
CD45+	20
CD4-	20
CD4+	20
CD8-	20
CD8+	20
FOXP3-	19
FOXP3+	17
CD38+	15
CD56+	7
ISOTYPERB+	1
ISOTPYEMU+	1

OVCA_TMA22_region_093.ome.tiff
254 ROIs
CD3+	20
CD3-	20
CD8+	20
CD8-	20
CD4+	20
CD4-	20
CD20-	20
CD38+	20
CD38-	20
FOXP3+	20
FOXP3-	20
CD56-	20
CD56+	10
CD20+	2
ISOTYPERB+	1
ISOTYPEMU+	1

OVCA_TMA22_region_144.ome.tiff
156 ROIs
CD3-	20
CD8-	20
CD4-	20
CD45-	20
FOXP3-	20
CD20-	19
CD3+	12
CD8+	9
FOXP3+	9
CD45+	3
CD4+	2
CD20+	1

OVCA_TMA22_region_049.ome.tiff
168 ROIs
CD3+	20
CD3-	20
CD8+	20
CD8-	20
CD4-	20
CD38-	20
FOXP3-	20
CD4+	14
CD38+	10
FOXP3+	2
ISOTYPERB+	1
ISTYPERB+	1

OVCA_TMA22_region_179.ome.tiff
76 ROIs
CD3-	20
CD8-	20
FOXP3-	20
CD3+	7
FOXP3+	6
CD8+	2
ISOTYPERB+	1

OVCA_TMA22_region_132.ome.tiff
185 ROIs
CD3-	23
CD20-	23
FOXP3-	23
CD3+	21
CD4+	20
CD4-	20
CD8-	19
CD8+	18
CD20+	9
FOXP3+	7
 CD20-	1
ISOTYPERB+	1

OVCA_TMA22_region_139.ome.tiff
155 ROIs
CD8-	23
CD4-	21
CD20-	21
CD3+	20
CD3-	20
FOXP3-	20
CD8+	12
CD4+	6
FOXP3+	6
ISOTYPERB+	4
CD20+	2

OVCA_TMA22_region_059.ome.tiff
157 ROIs
CD3-	20
CD4-	20
CD20-	20
CD38-	20
FOXP3-	20
CD8-	18
CD4+	12
CD3+	10
CD8+	8
FOXP3+	5
CD38+	2
CD20+	1
ISOTYPEMU+	1

OVCA_TMA22_region_109.ome.tiff
125 ROIs
CD3-	20
CD8-	20
CD4-	20
CD20-	20
FOXP3-	20
CD3+	10
CD8+	5
CD4+	5
FOXP3+	3
CD20+	2

OVCA_TMA22_region_009.ome.tiff
147 ROIs
CD3-	20
CD8-	20
CD4-	20
CD20-	20
FOXP3-	20
CD3+	16
CD4+	12
CD8+	8
FOXP3+	5
ISOTYPERB+	4
CD20+	2

OVCA_TMA22_region_054.ome.tiff
65 ROIs
CD3-	20
CD8-	20
CD4-	20
CD3+	2
CD8+	1
CD4+	1
ISOTYPERB	1

OVCA_TMA22_region_143.ome.tiff
124 ROIs
CD3-	20
CD8-	20
CD4-	20
FOXP3-	20
CD3+	16
CD8+	11
CD4+	9
FOXP3+	7
ISOTYPERB+	1

OVCA_TMA22_region_041.ome.tiff
183 ROIs
CD3+	24
CD3-	22
CD20-	21
FOXP3-	21
CD8-	20
CD4-	20
CD4+	16
CD20+	11
CD8+	10
FOX3P+	10
ISOTYPERB+	7
ISOTYPEMU+	1

OVCA_TMA22_region_130.ome.tiff
190 ROIs
CD20-	25
CD3+	21
CD4+	21
CD3-	20
CD8-	20
CD4-	20
FOXP3+	20
FOXP3-	19
CD8+	18
